id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year
419.0,46.0,Leicester,42.0,Arsenal,0-0,3-0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2018
416.0,44.0,Burnley,50.0,Manchester City,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
421.0,33.0,Manchester United,49.0,Chelsea,1-1,1-1,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
429.0,45.0,Everton,44.0,Burnley,2-0,2-0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
426.0,35.0,Bournemouth,47.0,Tottenham,0-0,1-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
433.0,48.0,West Ham,41.0,Southampton,1-0,3-0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2018
434.0,39.0,Wolves,36.0,Fulham,0-0,1-0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
427.0,43.0,Cardiff,52.0,Crystal Palace,1-2,2-3,-2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2018
432.0,34.0,Newcastle,40.0,Liverpool,1-2,2-3,0.0,-1.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2018
428.0,49.0,Chelsea,38.0,Watford,0-0,3-0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2018
430.0,37.0,Huddersfield,33.0,Manchester United,0-1,1-1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
425.0,42.0,Arsenal,51.0,Brighton,1-0,1-1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
431.0,50.0,Manchester City,46.0,Leicester,0-0,1-0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
435.0,51.0,Brighton,50.0,Manchester City,1-2,1-4,-3.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2018
436.0,44.0,Burnley,42.0,Arsenal,0-0,1-3,-1.0,-1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2018
437.0,52.0,Crystal Palace,35.0,Bournemouth,3-1,5-3,1.0,1.0,7.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,2018
438.0,36.0,Fulham,34.0,Newcastle,0-2,0-4,-3.0,-1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2018
439.0,46.0,Leicester,49.0,Chelsea,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
440.0,40.0,Liverpool,39.0,Wolves,1-0,2-0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2018
441.0,33.0,Manchester United,43.0,Cardiff,0-1,0-2,-2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
442.0,41.0,Southampton,37.0,Huddersfield,1-0,1-1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
443.0,47.0,Tottenham,45.0,Everton,1-0,2-2,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2018
444.0,38.0,Watford,48.0,West Ham,0-2,1-4,-2.0,-1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2018
